Date,Time,DryBulbCelsius,DryBulbFarenheit
20160301,15,8,46
20160301,35,7,45
20160301,55,7,45
20160301,115,7,45
20160301,135,7,45
20160301,155,7,45
20160301,215,7,45
20160301,235,7,45
20160301,255,7,45
20160301,315,7,45
20160301,335,7,45
20160301,355,8,46
20160301,415,8,46
20160301,435,7,45
20160301,455,7,45
20160301,515,7,45
20160301,535,7,45
20160301,555,7,45
20160301,615,5,41
20160301,635,6,43
20160301,655,5,41
20160301,715,5,41
20160301,735,7,45
20160301,755,9,48
20160301,815,11,52
20160301,835,12,54
20160301,855,13,55
20160301,915,13,55
20160301,935,14,57
20160301,955,15,59
20160301,1015,16,61
20160301,1035,17,63
20160301,1055,18,64
20160301,1115,18,64
20160301,1135,18,64
20160301,1155,19,66
20160301,1215,19,66
20160301,1235,19,66
20160301,1255,19,66
20160301,1315,19,66
20160301,1335,19,66
20160301,1355,20,68
20160301,1415,19,66
20160301,1435,19,66
20160301,1455,19,66
20160301,1515,18,64
20160301,1535,17,63
20160301,1555,17,63
20160301,1615,17,63
20160301,1635,16,61
20160301,1655,16,61
20160301,1715,15,59
20160301,1735,15,59
20160301,1755,15,59
20160301,1815,15,59
20160301,1835,14,57
20160301,1855,14,57
20160301,1915,14,57
20160301,1935,14,57
20160301,1955,14,57
20160301,2015,14,57
20160301,2035,14,57
20160301,2055,14,57
20160301,2115,14,57
20160301,2135,14,57
20160301,2155,14,57
20160301,2215,13,55
20160301,2235,14,57
20160301,2255,14,57
20160301,2315,14,57
20160301,2335,14,57
20160301,2355,14,57
20160302,15,14,57
20160302,35,14,57
20160302,55,13,55
20160302,115,13,55
20160302,135,13,55
20160302,155,13,55
20160302,215,13,55
20160302,235,13,55
20160302,255,13,55
20160302,315,13,55
20160302,335,13,55
20160302,355,13,55
20160302,415,13,55
20160302,435,13,55
20160302,455,13,55
20160302,515,13,55
20160302,535,13,55
20160302,555,13,55
20160302,615,12,54
20160302,635,12,54
20160302,655,12,54
20160302,715,12,54
20160302,735,12,54
20160302,755,12,54
20160302,815,12,54
20160302,835,12,54
20160302,855,12,54
20160302,915,12,54
20160302,935,13,55
20160302,955,13,55
20160302,1015,13,55
20160302,1035,15,59
20160302,1055,16,61
20160302,1115,17,63
20160302,1135,18,64
20160302,1155,19,66
20160302,1215,19,66
20160302,1235,19,66
20160302,1255,19,66
20160302,1315,18,64
20160302,1335,17,63
20160302,1355,17,63
20160302,1415,17,63
20160302,1435,17,63
20160302,1455,16,61
20160302,1515,16,61
20160302,1535,16,61
20160302,1555,15,59
20160302,1615,15,59
20160302,1635,15,59
20160302,1655,15,59
20160302,1715,15,59
20160302,1735,15,59
20160302,1755,15,59
20160302,1815,15,59
20160302,1835,15,59
20160302,1855,14,57
20160302,1915,15,59
20160302,1935,15,59
20160302,1955,15,59
20160302,2015,15,59
20160302,2035,14,57
20160302,2055,14,57
20160302,2115,14,57
20160302,2135,14,57
20160302,2155,14,57
20160302,2215,14,57
20160302,2235,14,57
20160302,2255,14,57
20160302,2315,14,57
20160302,2335,14,57
20160302,2355,14,57
20160303,15,14,57
20160303,35,14,57
20160303,55,14,57
20160303,115,14,57
20160303,135,13,55
20160303,155,13,55
20160303,215,13,55
20160303,235,13,55
20160303,255,13,55
20160303,315,13,55
20160303,335,13,55
20160303,355,13,55
20160303,415,13,55
20160303,435,13,55
20160303,455,13,55
20160303,515,13,55
20160303,535,13,55
20160303,555,13,55
20160303,615,13,55
20160303,635,13,55
20160303,655,13,55
20160303,715,13,55
20160303,735,13,55
20160303,755,13,55
20160303,815,13,55
20160303,835,13,55
20160303,855,14,57
20160303,915,14,57
20160303,935,14,57
20160303,955,14,57
20160303,1015,14,57
20160303,1035,15,59
20160303,1055,15,59
20160303,1115,15,59
20160303,1135,15,59
20160303,1155,16,61
20160303,1215,16,61
20160303,1235,16,61
20160303,1255,16,61
20160303,1315,16,61
20160303,1335,16,61
20160303,1355,16,61
20160303,1415,16,61
20160303,1435,16,61
20160303,1455,16,61
20160303,1515,16,61
20160303,1535,16,61
20160303,1555,16,61
20160303,1615,16,61
20160303,1635,16,61
20160303,1655,15,59
20160303,1715,14,57
20160303,1735,14,57
20160303,1755,14,57
20160303,1815,14,57
20160303,1835,14,57
20160303,1855,14,57
20160303,1915,14,57
20160303,1935,14,57
20160303,1955,14,57
20160303,2015,14,57
20160303,2035,12,54
20160303,2055,12,54
20160303,2115,12,54
20160303,2135,12,54
20160303,2155,12,54
20160303,2215,12,54
20160303,2235,12,54
20160303,2255,12,54
20160303,2315,13,55
20160303,2335,13,55
20160303,2355,13,55
20160304,15,13,55
20160304,35,13,55
20160304,55,13,55
20160304,115,13,55
20160304,135,14,57
20160304,155,14,57
20160304,215,14,57
20160304,235,14,57
20160304,255,14,57
20160304,315,14,57
20160304,335,14,57
20160304,355,14,57
20160304,415,14,57
20160304,435,14,57
20160304,455,14,57
20160304,515,14,57
20160304,535,14,57
20160304,555,14,57
20160304,615,14,57
20160304,635,14,57
20160304,655,14,57
20160304,715,14,57
20160304,735,14,57
20160304,755,14,57
20160304,815,15,59
20160304,835,15,59
20160304,855,15,59
20160304,915,15,59
20160304,935,15,59
20160304,955,15,59
20160304,1015,15,59
20160304,1035,15,59
20160304,1055,15,59
20160304,1115,15,59
20160304,1135,15,59
20160304,1155,15,59
20160304,1215,15,59
20160304,1235,15,59
20160304,1255,15,59
20160304,1315,15,59
20160304,1335,16,61
20160304,1355,16,61
20160304,1415,16,61
20160304,1435,17,63
20160304,1455,16,61
20160304,1515,17,63
20160304,1535,17,63
20160304,1555,17,63
20160304,1615,17,63
20160304,1635,16,61
20160304,1655,16,61
20160304,1715,17,63
20160304,1735,17,63
20160304,1755,16,61
20160304,1815,15,59
20160304,1835,15,59
20160304,1855,15,59
20160304,1915,15,59
20160304,1935,15,59
20160304,1955,15,59
20160304,2015,15,59
20160304,2035,15,59
20160304,2055,15,59
20160304,2115,15,59
20160304,2135,15,59
20160304,2155,15,59
20160304,2215,15,59
20160304,2235,15,59
20160304,2255,14,57
20160304,2315,14,57
20160304,2335,15,59
20160304,2355,15,59
20160305,15,15,59
20160305,35,15,59
20160305,55,15,59
20160305,115,15,59
20160305,135,15,59
20160305,155,15,59
20160305,215,14,57
20160305,235,14,57
20160305,255,15,59
20160305,315,15,59
20160305,335,14,57
20160305,355,14,57
20160305,415,14,57
20160305,435,14,57
20160305,455,14,57
20160305,515,14,57
20160305,535,14,57
20160305,555,14,57
20160305,615,14,57
20160305,635,14,57
20160305,655,14,57
20160305,715,14,57
20160305,735,14,57
20160305,755,15,59
20160305,815,15,59
20160305,835,15,59
20160305,855,15,59
20160305,915,15,59
20160305,935,15,59
20160305,955,15,59
20160305,1015,15,59
20160305,1035,15,59
20160305,1055,15,59
20160305,1115,15,59
20160305,1135,16,61
20160305,1155,16,61
20160305,1215,17,63
20160305,1235,17,63
20160305,1255,16,61
20160305,1315,16,61
20160305,1335,16,61
20160305,1355,16,61
20160305,1415,15,59
20160305,1435,15,59
20160305,1455,15,59
20160305,1515,15,59
20160305,1535,15,59
20160305,1555,15,59
20160305,1615,15,59
20160305,1635,15,59
20160305,1655,15,59
20160305,1715,15,59
20160305,1735,14,57
20160305,1755,14,57
20160305,1815,14,57
20160305,1835,14,57
20160305,1855,15,59
20160305,1915,15,59
20160305,1935,15,59
20160305,1955,14,57
20160305,2015,14,57
20160305,2035,13,55
20160305,2055,12,54
20160305,2115,12,54
20160305,2135,12,54
20160305,2155,12,54
20160305,2215,12,54
20160305,2235,12,54
20160305,2255,12,54
20160305,2315,12,54
20160305,2335,12,54
20160305,2355,12,54
20160306,15,12,54
20160306,35,12,54
20160306,55,11,52
20160306,115,10,50
20160306,135,10,50
20160306,155,10,50
20160306,215,10,50
20160306,235,9,48
20160306,255,10,50
20160306,315,10,50
20160306,335,9,48
20160306,355,9,48
20160306,415,9,48
20160306,435,8,46
20160306,455,8,46
20160306,515,8,46
20160306,535,8,46
20160306,555,7,45
20160306,615,8,46
20160306,635,7,45
20160306,655,7,45
20160306,715,8,46
20160306,735,9,48
20160306,755,11,52
20160306,815,12,54
20160306,835,13,55
20160306,855,13,55
20160306,915,13,55
20160306,935,14,57
20160306,955,13,55
20160306,1015,14,57
20160306,1035,13,55
20160306,1055,13,55
20160306,1115,13,55
20160306,1135,14,57
20160306,1155,13,55
20160306,1215,14,57
20160306,1235,13,55
20160306,1255,13,55
20160306,1315,13,55
20160306,1335,13,55
20160306,1355,11,52
20160306,1415,10,50
20160306,1435,12,54
20160306,1455,12,54
20160306,1515,12,54
20160306,1535,13,55
20160306,1555,13,55
20160306,1615,12,54
20160306,1635,12,54
20160306,1655,12,54
20160306,1715,11,52
20160306,1735,10,50
20160306,1755,10,50
20160306,1815,10,50
20160306,1835,10,50
20160306,1855,10,50
20160306,1915,10,50
20160306,1935,10,50
20160306,1955,10,50
20160306,2015,11,52
20160306,2035,10,50
20160306,2055,10,50
20160306,2115,10,50
20160306,2135,10,50
20160306,2155,11,52
20160306,2215,10,50
20160306,2235,11,52
20160306,2255,11,52
20160306,2315,11,52
20160306,2335,11,52
20160306,2355,10,50
20160307,15,10,50
20160307,35,10,50
20160307,55,10,50
20160307,115,9,48
20160307,135,9,48
20160307,155,9,48
20160307,215,9,48
20160307,235,9,48
20160307,255,9,48
20160307,315,8,46
20160307,335,9,48
20160307,355,9,48
20160307,415,9,48
20160307,435,9,48
20160307,455,9,48
20160307,515,9,48
20160307,535,9,48
20160307,555,9,48
20160307,615,8,46
20160307,635,8,46
20160307,655,8,46
20160307,715,8,46
20160307,735,9,48
20160307,755,9,48
20160307,815,9,48
20160307,835,9,48
20160307,855,10,50
20160307,915,9,48
20160307,935,9,48
20160307,955,10,50
20160307,1015,10,50
20160307,1035,10,50
20160307,1055,10,50
20160307,1115,11,52
20160307,1135,11,52
20160307,1155,12,54
20160307,1215,12,54
20160307,1235,12,54
20160307,1255,11,52
20160307,1315,11,52
20160307,1335,9,48
20160307,1355,10,50
20160307,1415,12,54
20160307,1435,12,54
20160307,1455,13,55
20160307,1515,14,57
20160307,1535,14,57
20160307,1555,15,59
20160307,1615,15,59
20160307,1635,15,59
20160307,1655,15,59
20160307,1715,14,57
20160307,1735,14,57
20160307,1755,12,54
20160307,1815,12,54
20160307,1835,10,50
20160307,1855,10,50
20160307,1915,9,48
20160307,1935,9,48
20160307,1955,8,46
20160307,2015,9,48
20160307,2035,9,48
20160307,2055,9,48
20160307,2115,9,48
20160307,2135,8,46
20160307,2155,8,46
20160307,2215,8,46
20160307,2235,8,46
20160307,2255,7,45
20160307,2315,7,45
20160307,2335,6,43
20160307,2355,7,45
20160308,15,7,45
20160308,35,6,43
20160308,55,5,41
20160308,115,6,43
20160308,135,5,41
20160308,155,6,43
20160308,215,5,41
20160308,235,7,45
20160308,255,5,41
20160308,315,5,41
20160308,335,5,41
20160308,355,5,41
20160308,415,5,41
20160308,435,5,41
20160308,455,4,39
20160308,515,4,39
20160308,535,4,39
20160308,555,4,39
20160308,615,2,36
20160308,635,3,37
20160308,655,4,39
20160308,715,5,41
20160308,735,6,43
20160308,755,7,45
20160308,815,8,46
20160308,835,8,46
20160308,855,9,48
20160308,915,9,48
20160308,935,10,50
20160308,955,11,52
20160308,1015,12,54
20160308,1035,12,54
20160308,1055,12,54
20160308,1115,12,54
20160308,1135,12,54
20160308,1155,12,54
20160308,1215,13,55
20160308,1235,13,55
20160308,1255,13,55
20160308,1315,13,55
20160308,1335,13,55
20160308,1355,13,55
20160308,1415,12,54
20160308,1435,12,54
20160308,1455,12,54
20160308,1515,11,52
20160308,1535,11,52
20160308,1555,11,52
20160308,1615,10,50
20160308,1635,10,50
20160308,1655,9,48
20160308,1715,9,48
20160308,1735,9,48
20160308,1755,9,48
20160308,1815,9,48
20160308,1835,9,48
20160308,1855,9,48
20160308,1915,9,48
20160308,1935,9,48
20160308,1955,9,48
20160308,2015,9,48
20160308,2035,9,48
20160308,2055,9,48
20160308,2115,9,48
20160308,2135,9,48
20160308,2155,9,48
20160308,2215,9,48
20160308,2235,10,50
20160308,2255,10,50
20160308,2315,9,48
20160308,2335,9,48
20160308,2355,9,48
20160309,15,10,50
20160309,35,9,48
20160309,55,9,48
20160309,115,9,48
20160309,135,9,48
20160309,155,9,48
20160309,215,9,48
20160309,235,9,48
20160309,255,9,48
20160309,315,9,48
20160309,335,10,50
20160309,355,9,48
20160309,415,9,48
20160309,435,9,48
20160309,455,10,50
20160309,515,10,50
20160309,535,10,50
20160309,555,10,50
20160309,615,10,50
20160309,635,10,50
20160309,655,10,50
20160309,715,10,50
20160309,735,10,50
20160309,755,10,50
20160309,805,10,50
20160309,835,10,50
20160309,855,10,50
20160309,915,10,50
20160309,935,11,52
20160309,955,11,52
20160309,1015,12,54
20160309,1035,12,54
20160309,1055,12,54
20160309,1115,12,54
20160309,1135,12,54
20160309,1155,12,54
20160309,1215,12,54
20160309,1235,13,55
20160309,1255,13,55
20160309,1315,14,57
20160309,1335,14,57
20160309,1355,14,57
20160309,1415,14,57
20160309,1435,14,57
20160309,1455,14,57
20160309,1515,14,57
20160309,1535,15,59
20160309,1555,15,59
20160309,1615,15,59
20160309,1635,15,59
20160309,1655,15,59
20160309,1715,15,59
20160309,1735,15,59
20160309,1755,14,57
20160309,1815,14,57
20160309,1835,14,57
20160309,1855,14,57
20160309,1915,13,55
20160309,1935,13,55
20160309,1955,13,55
20160309,2015,13,55
20160309,2035,13,55
20160309,2055,13,55
20160309,2115,14,57
20160309,2135,14,57
20160309,2155,14,57
20160309,2215,14,57
20160309,2235,14,57
20160309,2255,14,57
20160309,2315,14,57
20160309,2335,13,55
20160309,2355,14,57
20160310,15,13,55
20160310,35,13,55
20160310,55,13,55
20160310,115,13,55
20160310,135,12,54
20160310,155,12,54
20160310,215,12,54
20160310,235,10,50
20160310,255,11,52
20160310,315,12,54
20160310,335,13,55
20160310,355,13,55
20160310,415,13,55
20160310,435,13,55
20160310,455,13,55
20160310,515,13,55
20160310,535,13,55
20160310,555,13,55
20160310,615,13,55
20160310,635,14,57
20160310,655,14,57
20160310,715,14,57
20160310,735,13,55
20160310,755,13,55
20160310,1555,14,57
20160310,1615,14,57
20160310,1635,14,57
20160310,1655,14,57
20160310,1715,14,57
20160310,1735,14,57
20160310,1755,14,57
20160310,1815,14,57
20160310,1835,14,57
20160310,1855,14,57
20160310,1915,14,57
20160310,1935,14,57
20160310,1955,14,57
20160310,2015,14,57
20160310,2035,14,57
20160310,2055,14,57
20160310,2115,14,57
20160310,2135,14,57
20160310,2155,14,57
20160310,2215,14,57
20160310,2235,14,57
20160310,2255,14,57
20160310,2315,13,55
20160310,2335,13,55
20160310,2355,13,55
20160311,15,13,55
20160311,35,13,55
20160311,55,13,55
20160311,115,13,55
20160311,135,13,55
20160311,155,13,55
20160311,215,13,55
20160311,235,13,55
20160311,255,13,55
20160311,315,13,55
20160311,335,13,55
20160311,355,13,55
20160311,415,13,55
20160311,435,13,55
20160311,455,12,54
20160311,515,13,55
20160311,535,13,55
20160311,555,13,55
20160311,615,13,55
20160311,635,12,54
20160311,655,12,54
20160311,715,12,54
20160311,735,12,54
20160311,755,12,54
20160311,815,12,54
20160311,835,11,52
20160311,855,11,52
20160311,915,11,52
20160311,935,11,52
20160311,955,11,52
20160311,1015,11,52
20160311,1035,11,52
20160311,1055,12,54
20160311,1115,12,54
20160311,1135,12,54
20160311,1155,12,54
20160311,1215,14,57
20160311,1235,14,57
20160311,1255,13,55
20160311,1315,13,55
20160311,1335,13,55
20160311,1355,12,54
20160311,1415,12,54
20160311,1435,12,54
20160311,1455,10,50
20160311,1515,10,50
20160311,1535,12,54
20160311,1555,12,54
20160311,1615,12,54
20160311,1635,11,52
20160311,1655,12,54
20160311,1715,11,52
20160311,1735,10,50
20160311,1755,10,50
20160311,1815,10,50
20160311,1835,10,50
20160311,1855,10,50
20160311,1915,10,50
20160311,1935,10,50
20160311,1955,9,48
20160311,2015,10,50
20160311,2035,10,50
20160311,2055,10,50
20160311,2115,10,50
20160311,2135,10,50
20160311,2155,10,50
20160311,2215,10,50
20160311,2235,10,50
20160311,2255,10,50
20160311,2315,10,50
20160311,2335,9,48
20160311,2355,10,50
20160312,15,9,48
20160312,35,9,48
20160312,55,8,46
20160312,115,8,46
20160312,135,7,45
20160312,155,7,45
20160312,215,7,45
20160312,235,8,46
20160312,255,7,45
20160312,315,8,46
20160312,335,8,46
20160312,355,8,46
20160312,415,8,46
20160312,435,9,48
20160312,455,9,48
20160312,515,9,48
20160312,535,9,48
20160312,555,9,48
20160312,615,9,48
20160312,635,9,48
20160312,655,9,48
20160312,715,10,50
20160312,735,10,50
20160312,755,10,50
20160312,815,10,50
20160312,835,10,50
20160312,855,10,50
20160312,915,10,50
20160312,935,11,52
20160312,955,11,52
20160312,1015,11,52
20160312,1035,12,54
20160312,1055,12,54
20160312,1115,13,55
20160312,1135,12,54
20160312,1155,13,55
20160312,1215,13,55
20160312,1235,13,55
20160312,1255,13,55
20160312,1315,13,55
20160312,1335,13,55
20160312,1355,13,55
20160312,1415,14,57
20160312,1435,13,55
20160312,1455,12,54
20160312,1515,12,54
20160312,1535,12,54
20160312,1555,13,55
20160312,1615,13,55
20160312,1635,13,55
20160312,1655,13,55
20160312,1715,13,55
20160312,1735,13,55
20160312,1755,13,55
20160312,1815,13,55
20160312,1835,13,55
20160312,1855,12,54
20160312,1915,12,54
20160312,1935,11,52
20160312,1955,11,52
20160312,2015,11,52
20160312,2035,11,52
20160312,2055,11,52
20160312,2115,11,52
20160312,2135,11,52
20160312,2155,12,54
20160312,2215,12,54
20160312,2235,12,54
20160312,2255,11,52
20160312,2315,12,54
20160312,2335,12,54
20160312,2355,12,54
20160313,15,12,54
20160313,35,12,54
20160313,55,12,54
20160313,115,13,55
20160313,135,13,55
20160313,155,13,55
20160313,215,13,55
20160313,235,13,55
20160313,255,12,54
20160313,315,12,54
20160313,335,12,54
20160313,355,12,54
20160313,415,12,54
20160313,435,12,54
20160313,455,11,52
20160313,515,11,52
20160313,535,11,52
20160313,555,12,54
20160313,615,12,54
20160313,635,13,55
20160313,655,13,55
20160313,715,12,54
20160313,735,13,55
20160313,755,13,55
20160313,815,13,55
20160313,835,13,55
20160313,855,13,55
20160313,915,13,55
20160313,935,14,57
20160313,955,14,57
20160313,1015,14,57
20160313,1035,14,57
20160313,1055,14,57
20160313,1115,14,57
20160313,1135,14,57
20160313,1155,14,57
20160313,1215,14,57
20160313,1235,14,57
20160313,1255,14,57
20160313,1315,14,57
20160313,1335,14,57
20160313,1355,14,57
20160313,1415,14,57
20160313,1435,14,57
20160313,1455,14,57
20160313,1515,14,57
20160313,1535,14,57
20160313,1555,14,57
20160313,1615,14,57
20160313,1635,14,57
20160313,1655,14,57
20160313,1715,14,57
20160313,1735,14,57
20160313,1755,14,57
20160313,1815,14,57
20160313,1835,14,57
20160313,1855,14,57
20160313,1915,14,57
20160313,1935,14,57
20160313,1955,12,54
20160313,2015,12,54
20160313,2035,12,54
20160313,2055,12,54
20160313,2115,12,54
20160313,2135,12,54
20160313,2155,13,55
20160313,2215,12,54
20160313,2235,12,54
20160313,2255,12,54
20160313,2315,12,54
20160313,2335,12,54
20160313,2355,12,54
20160314,15,12,54
20160314,35,12,54
20160314,55,12,54
20160314,115,12,54
20160314,135,12,54
20160314,155,12,54
20160314,215,11,52
20160314,235,10,50
20160314,255,10,50
20160314,315,9,48
20160314,335,9,48
20160314,355,9,48
20160314,415,9,48
20160314,435,9,48
20160314,455,8,46
20160314,515,7,45
20160314,535,7,45
20160314,555,7,45
20160314,615,6,43
20160314,635,5,41
20160314,655,5,41
20160314,715,6,43
20160314,735,8,46
20160314,755,9,48
20160314,815,10,50
20160314,835,10,50
20160314,855,11,52
20160314,915,12,54
20160314,935,12,54
20160314,955,13,55
20160314,1015,13,55
20160314,1035,13,55
20160314,1055,13,55
20160314,1115,13,55
20160314,1135,13,55
20160314,1155,14,57
20160314,1215,14,57
20160314,1235,13,55
20160314,1255,14,57
20160314,1315,14,57
20160314,1335,15,59
20160314,1355,15,59
20160314,1415,15,59
20160314,1435,15,59
20160314,1455,14,57
20160314,1515,15,59
20160314,1535,14,57
20160314,1555,14,57
20160314,1615,14,57
20160314,1635,14,57
20160314,1655,14,57
20160314,1715,13,55
20160314,1735,13,55
20160314,1755,12,54
20160314,1815,11,52
20160314,1835,10,50
20160314,1855,10,50
20160314,1915,9,48
20160314,1935,8,46
20160314,1955,8,46
20160314,2015,8,46
20160314,2035,8,46
20160314,2055,8,46
20160314,2115,8,46
20160314,2135,7,45
20160314,2155,7,45
20160314,2215,7,45
20160314,2235,7,45
20160314,2255,7,45
20160314,2315,7,45
20160314,2335,7,45
20160314,2355,7,45
20160315,15,6,43
20160315,35,6,43
20160315,55,6,43
20160315,115,7,45
20160315,135,6,43
20160315,155,5,41
20160315,215,4,39
20160315,235,5,41
20160315,255,6,43
20160315,315,5,41
20160315,335,6,43
20160315,355,5,41
20160315,415,3,37
20160315,435,4,39
20160315,455,3,37
20160315,515,4,39
20160315,535,3,37
20160315,555,3,37
20160315,615,3,37
20160315,635,2,36
20160315,655,3,37
20160315,715,5,41
20160315,735,6,43
20160315,755,7,45
20160315,815,8,46
20160315,835,8,46
20160315,855,10,50
20160315,915,10,50
20160315,935,12,54
20160315,955,12,54
20160315,1015,13,55
20160315,1035,13,55
20160315,1055,13,55
20160315,1115,14,57
20160315,1135,15,59
20160315,1155,15,59
20160315,1215,16,61
20160315,1235,17,63
20160315,1255,17,63
20160315,1315,17,63
20160315,1335,17,63
20160315,1355,18,64
20160315,1415,18,64
20160315,1435,17,63
20160315,1455,17,63
20160315,1515,17,63
20160315,1535,17,63
20160315,1555,17,63
20160315,1615,17,63
20160315,1635,16,61
20160315,1655,16,61
20160315,1715,15,59
20160315,1735,15,59
20160315,1755,14,57
20160315,1815,13,55
